Timestamp,What is your current year of study,What is your current relationship status?,How do you prefer studying before exams?,Do you do competitive programming?,Which hostel do you live in?,What is your gender?,What is your favourite sport?,Favourite hangout place in campus,Which state/union territory do you belong to?,What is your dept?,What is your preferred coding language?,What is your favourite place to eat at IIT Guwahati?,Which is your favourite club in IIT Guwahati?,Are you satisfied in IIT Guwahati,What is your current cpi?
2022/08/16 7:40:50 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Manas,Man,Athletics,Playgrounds,Haryana,CSE,C++,Hostel Canteen,Finance and Economics,Maybe,8.44
2022/08/16 8:25:28 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Manas,Man,Cricket,New Sac,Telangana,CSE,C++,None,Acumen(Quiz Club),Maybe,6.9
2022/08/16 8:50:08 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Manas,Man,,IIT G lake (in front of library),Rajasthan,ECE,C++,None,Coding Club,Maybe,8.59
2022/08/16 9:39:34 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Disang,Man,Basketball,IIT G lake (in front of library),Haryana,CL,C++,None,Alcher,Yes,7.56
2022/08/16 9:42:42 am GMT+5:30,1st,Single,Studying on a regular basis,No,Lohit,Man,Cricket,IIT G lake (in front of library),West Bengal,CSE,C++,Food Court,Coding Club,Yes,Currently in 1st sem
2022/08/16 10:11:32 am GMT+5:30,4th,In a relationship,Studying on a regular basis,No,Siang,Man,Cricket,Playgrounds,Andhra Pradesh,ECE,C++,Hostel Canteen,Electronics Club,Yes,7
2022/08/16 10:29:57 am GMT+5:30,2nd,Single,Studying on a regular basis,No,Barak,Man,Badminton,Food Court,Bihar,CST,C++,Food Court,Xpressions,Maybe,7.2
2022/08/16 10:32:00 am GMT+5:30,2nd,Single,Studying on a regular basis,No,Umiam,Man,"Cricket,badminton",IIT G lake (in front of library),Gujarat,EEE,Python,Hostel Mess,Coding Club,Yes,8
2022/08/16 10:41:56 am GMT+5:30,1st,Single,Studying on a regular basis,No,Barak,Man,Running,Others,,ME,,Hostel Mess,Robotics,Yes,na
2022/08/16 11:14:02 am GMT+5:30,3rd,Single,Studying on a regular basis,Yes,Barak,Man,,Lake in front of the hospital,Rajasthan,CSE,Python,Hostel Mess,iitg.ai,Yes,8.31
2022/08/16 11:36:01 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Brahmaputra,Man,TT,Others,Madhya Pradesh,MnC,C++,Hostel Canteen,Consulting and Analytics,Maybe,8.74
2022/08/16 11:41:16 am GMT+5:30,2nd,Single,Studying on a regular basis,No,Kapili,Man,Kabaddi,New Sac,Chhattisgarh,CE,Java,Rolls Mania/Tacos,Xpressions,Yes,7.3
2022/08/16 11:45:38 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Lohit,Man,,New Sac,The Government of NCT of Delhi,CE,C++,Food Court,E cell,Maybe,8.07
2022/08/16 11:56:43 am GMT+5:30,2nd,It's complicated,Pulling of all nighters :),Yes,Subansiri,Non-binary,People Gazing,Serpentine Lake 😏,Haryana,CE,C++,None,Consulting and Analytics,Maybe,69
2022/08/16 11:57:47 am GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Brahmaputra,Man,Football,Playgrounds,Karnataka,MnC,C++,Food Court,Coding Club,Yes,8.1
2022/08/16 11:57:51 am GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Dhansiri,Woman,Badminton,IIT G lake (in front of library),West Bengal,ECE,C,Rolls Mania/Tacos,Equinox,Maybe,8.15
2022/08/16 12:20:43 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Disang,Man,Badminton ,Food Court,Rajasthan,BSBE,C++,Rolls Mania/Tacos,Coding Club,Yes,6
2022/08/16 12:31:51 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,Manas,Man,TT,Old Sac,West Bengal,CE,Python,Hostel Mess,Consulting and Analytics,Yes,7.7
2022/08/16 12:36:06 pm GMT+5:30,1st,Single,Studying on a regular basis,No,Manas,Man,Football,IIT G lake (in front of library),The Government of NCT of Delhi,ME,Python,Food Court,IITG Racing,Maybe,7
2022/08/16 12:52:14 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Lohit,Man,Table Tennis ,New Sac,Telangana,ECE,C,Khoka,Cadence,Maybe,9.07
